,pipeline,total_deviation,stability
0,BindSC,11.303379224625651,0.5652546452067058
1,Cobolt,14.446991083703354,0.4443464967806402
2,Portal,3.1639796833613842,0.8783084737168698
3,Seurat(CCA),4.843835198589825,0.8136986462080836
4,scBridge,2.7874085956577694,0.8927919770900858
5,scDART,19.440133460553785,0.25230255920946987
6,scJoint,8.35697237271823,0.6785779856646834
7,scVI,4.720334936709285,0.8184486562804121
8,scglue,2.765275443254005,0.8936432521825383
9,scglue(multiome),4.064647500669285,0.8436674038204122
10,simba,3.801119083069828,0.853803112189622
