pipeline,accuracy,type,k value
MaxFuse,0.9064357276277806,overall,5
MaxFuse,0.9880478087649402,CD56 (bright) NK cells,5
MaxFuse,0.8653198653198653,CD56 (dim) NK cells,5
MaxFuse,0.9459691252144082,classical monocytes,5
MaxFuse,0.7124463519313304,effector CD8 T cells,5
MaxFuse,0.5613577023498695,intermediate monocytes,5
MaxFuse,0.9699570815450643,memory B cells,5
MaxFuse,0.9659574468085106,memory CD4 T cells,5
MaxFuse,0.8766233766233766,myeloid DC,5
MaxFuse,0.988950276243094,naive B cells,5
MaxFuse,0.8971238938053098,naive CD4 T cells,5
MaxFuse,0.9665587918015103,naive CD8 T cells,5
MaxFuse,0.8818181818181818,non-classical monocytes,5
MaxFuse,0.912548819833588,overall,10
MaxFuse,0.9880478087649402,CD56 (bright) NK cells,10
MaxFuse,0.8956228956228957,CD56 (dim) NK cells,10
MaxFuse,0.9476843910806175,classical monocytes,10
MaxFuse,0.721030042918455,effector CD8 T cells,10
MaxFuse,0.5926892950391645,intermediate monocytes,10
MaxFuse,0.9742489270386266,memory B cells,10
MaxFuse,0.9702127659574468,memory CD4 T cells,10
MaxFuse,0.8961038961038961,myeloid DC,10
MaxFuse,0.988950276243094,naive B cells,10
MaxFuse,0.9026548672566371,naive CD4 T cells,10
MaxFuse,0.9644012944983819,naive CD8 T cells,10
MaxFuse,0.8818181818181818,non-classical monocytes,10
MaxFuse,0.9116997792494481,overall,20
MaxFuse,0.9880478087649402,CD56 (bright) NK cells,20
MaxFuse,0.8888888888888888,CD56 (dim) NK cells,20
MaxFuse,0.9502572898799314,classical monocytes,20
MaxFuse,0.703862660944206,effector CD8 T cells,20
MaxFuse,0.5848563968668408,intermediate monocytes,20
MaxFuse,0.9785407725321889,memory B cells,20
MaxFuse,0.9680851063829787,memory CD4 T cells,20
MaxFuse,0.9155844155844156,myeloid DC,20
MaxFuse,0.988950276243094,naive B cells,20
MaxFuse,0.9048672566371682,naive CD4 T cells,20
MaxFuse,0.9644012944983819,naive CD8 T cells,20
MaxFuse,0.8681818181818182,non-classical monocytes,20
MaxFuse,0.9116997792494481,overall,40
MaxFuse,0.9880478087649402,CD56 (bright) NK cells,40
MaxFuse,0.8956228956228957,CD56 (dim) NK cells,40
MaxFuse,0.9596912521440824,classical monocytes,40
